name,per_lookup_ns,size_byte,build_ns
 RS_10,100.978,537116104,2598490082
 RS_9,101.783,537116104,2600075672
 RS_8,115.679,134462920,2315286523
 RS_7,115.413,134462920,2314514153
 RS_6,128.915,33799624,2243513119
 RS_5,142.121,8633800,2226294550
 RS_4,156.916,2342344,2220491999
 RS_3,173.898,769480,2221248627
 RS_2,174.065,769480,2219338787
 RS_1,236.762,149800,2215768731
 PGM_16,357.002,55000,14189132553
 PGM_4,253.29,109380,13879366234
 PGM_8,296.931,77480,13966244643
 PGM_32,423.026,39020,13966366615
 PGM_64,486.564,27700,13846912479
 PGM_256,607.684,14140,13850453471
 PGM_1024,732.482,7240,14221664172
 PGM_2048,811.308,5200,13965338523
 PGM_4096,898.421,3760,14108934160
 PGM_8192,976.446,2760,14168511859
 ART_1,693.739,4467164024,11304528868
 ART_32,598.914,129446800,777429472
 ART_64,622.231,67396808,558938295
 ART_128,657.413,36301008,453163082
 ART_256,688.521,17449728,311018661
 ART_512,723.696,8705632,243019262
 ART_1024,764.802,4156464,199848060
 ART_2048,813.91,2163048,193021901
 ART_4096,872,1046424,186109323
 ART_8192,942.281,507560,168497808
 BTree_32,716.697,116016232,67216633
 BTree_1,902.448,3712500896,3921022562
 BTree_4,795.616,928126304,931198576
 BTree_16,731.446,232032112,184442254
 BTree_64,743.572,58008568,32985932
 BTree_128,751.634,29004872,13784529
 BTree_512,770.449,7251896,3162402
 BTree_1024,806.881,3626672,1598204
 BTree_4096,919.988,906864,405260
 BTree_16384,1042.39,227048,114082
 BTree_65536,1144.85,57096,32289
 BTree_262144,1220.05,14608,12119
 IBTree_1,664.924,3225127816,2671177402
 IBTree_32,578.432,100794136,525806481
 IBTree_64,611.252,50401192,314931665
 IBTree_128,647.677,25202664,294471363
 IBTree_256,670.325,12603400,207436360
 IBTree_512,706.804,6303768,156178864
 IBTree_1024,759.787,3153952,126176687
 IBTree_2048,820.128,1583160,113643798
 IBTree_4096,901.835,789528,109778075
 IBTree_8192,973.431,398888,109127690
 FAST_1,864.813,3657143296,19099511479
 FAST_16,726.489,228571776,1222748595
 FAST_256,779.14,14286080,66051463
 FAST_512,801.708,7143296,32620595
 FAST_768,827.901,4762240,17323610
 FAST_1024,817.859,3571712,12765672
 FAST_1526,860.952,2396672,8458774
 FAST_2048,868.791,1785984,6376896
 FAST_4096,933.547,893184,3235025
 FAST_8192,1006.18,446592,1613265
 ALEX_1,349.806,4624309352,96056047638
 ALEX_4,340.451,1168817424,23277901997
 ALEX_8,370.446,584508936,12177665037
 ALEX_16,436.293,296529152,6422416720
 ALEX_32,480.154,148339152,3526095186
 ALEX_64,537.309,74233672,1688026584
 ALEX_128,581.461,38207592,962699353
 ALEX_256,625.36,19141688,443439447
 ALEX_512,659.54,10127296,286219915
 ALEX_1024,683.683,5603448,208157304
 ALEX_2048,741.162,2818304,103029586
 ALEX_4096,814.173,1676464,82577638
 ALEX_8192,889.77,1108144,77299549
 RMICpp_1,1889.21,3104,3643824303
 RMICpp_2,1857.55,6176,3643648747
 RMICpp_3,1837.82,12320,3643974750
 RMICpp_4,1819.07,24608,3645198718
 RMICpp_5,1793.96,49184,3646406236
 RMICpp_6,1723.45,98336,3649124908
 RMICpp_7,1674.35,196640,3653018409
 RMICpp_8,1615.27,393248,3658953889
 FST_1,1295.3,1883521928,20498267839
 FST_128,2278.97,14667145,126976621
 FST_256,2279.62,7358541,63081942
 FST_512,2298.45,3691932,27571386
 FST_1024,2297.73,1851566,13337322
 FST_2048,2326.52,927545,6687752
 FST_4096,2364.16,463949,3425408
 FST_8192,2431.13,231393,1698392
 RBS_28,643.351,1073741828,1209047510
 RBS_26,731.232,268435460,634112811
 RBS_24,809.422,67108868,492299305
 RBS_22,871.951,16777220,449412064
 RBS_20,938.621,4194308,447213125
 RBS_18,976.997,1048580,444544766
 RBS_16,1008.51,262148,444254894
 RBS_14,1022.15,65540,444246908
 RBS_12,1031.41,16388,443802260
 RBS_10,1035.74,4100,444184277
 RBS_8,1033.99,1028,444602332
 RobinHash_0,125.431,8589934592,21254470013
 BinarySearch_0,1007.28,0,0